,StartTime,EndTime,MinutesAsleep,MinutesAwake,NumberOfAwakenings,TimeInBed,MinutesRemSleep,MinutesLightSleep,MinutesDeepSleep,Nights
0,"Sunday, 19 January 2020","Sunday, 19 January 2020",375,13,6,404,,,,1
1,"Monday, 20 January 2020","Monday, 20 January 2020",345,44,2,389,,,,2
2,"Tuesday, 21 January 2020","Tuesday, 21 January 2020",418,53,5,475,,,,3
3,"Wednesday, 22 January 2020","Wednesday, 22 January 2020",352,39,3,391,,,,4
4,"Thursday, 23 January 2020","Thursday, 23 January 2020",376,45,2,427,,,,5
5,"Friday, 24 January 2020","Friday, 24 January 2020",241,30,2,271,,,,6
6,"Saturday, 25 January 2020","Saturday, 25 January 2020",428,12,11,440,,,,7
7,"Saturday, 25 January 2020","Saturday, 25 January 2020",85,2,2,87,,,,8
8,"Sunday, 26 January 2020","Sunday, 26 January 2020",164,19,1,185,,,,9
9,"Sunday, 26 January 2020","Sunday, 26 January 2020",149,4,4,153,,,,10
10,"Monday, 27 January 2020","Monday, 27 January 2020",411,7,4,418,,,,11
11,"Tuesday, 28 January 2020","Tuesday, 28 January 2020",271,29,2,300,,,,12
12,"Wednesday, 29 January 2020","Wednesday, 29 January 2020",474,57,3,531,,,,13
13,"Thursday, 30 January 2020","Thursday, 30 January 2020",387,45,1,435,,,,14
14,"Friday, 31 January 2020","Friday, 31 January 2020",198,4,3,202,,,,15
15,"Saturday, 1 February 2020","Saturday, 1 February 2020",295,20,2,316,,,,16
16,"Saturday, 1 February 2020","Saturday, 1 February 2020",101,11,1,112,,,,17
17,"Sunday, 2 February 2020","Sunday, 2 February 2020",341,38,4,393,,,,18
18,"Monday, 3 February 2020","Monday, 3 February 2020",428,37,3,470,,,,19
19,"Tuesday, 4 February 2020","Tuesday, 4 February 2020",419,42,1,462,,,,20
20,"Wednesday, 5 February 2020","Wednesday, 5 February 2020",415,46,4,461,,,,21
21,"Thursday, 6 February 2020","Thursday, 6 February 2020",334,49,3,383,,,,22
22,"Friday, 7 February 2020","Friday, 7 February 2020",400,13,10,413,,,,23
23,"Saturday, 8 February 2020","Saturday, 8 February 2020",363,6,4,369,,,,24
24,"Sunday, 9 February 2020","Sunday, 9 February 2020",412,55,5,472,,,,25
25,"Monday, 10 February 2020","Monday, 10 February 2020",363,15,8,378,,,,26
26,"Tuesday, 11 February 2020","Tuesday, 11 February 2020",322,44,2,366,,,,27
27,"Wednesday, 12 February 2020","Wednesday, 12 February 2020",282,29,1,311,,,,28
28,"Wednesday, 12 February 2020","Wednesday, 12 February 2020",89,14,2,103,,,,29
29,"Thursday, 13 February 2020","Thursday, 13 February 2020",275,21,4,303,,,,30
30,"Friday, 14 February 2020","Friday, 14 February 2020",461,50,0,512,,,,31
31,"Saturday, 15 February 2020","Saturday, 15 February 2020",85,2,2,87,,,,32
32,"Saturday, 15 February 2020","Saturday, 15 February 2020",233,17,0,250,,,,33
33,"Sunday, 16 February 2020","Sunday, 16 February 2020",373,28,2,401,,,,34
34,"Sunday, 16 February 2020","Sunday, 16 February 2020",114,0,0,114,,,,35
35,"Monday, 17 February 2020","Monday, 17 February 2020",376,32,1,408,,,,36
36,"Tuesday, 18 February 2020","Tuesday, 18 February 2020",323,31,2,356,,,,37
37,"Thursday, 20 February 2020","Thursday, 20 February 2020",133,9,0,142,,,,38
38,"Friday, 21 February 2020","Friday, 21 February 2020",402,4,0,415,,,,39
39,"Friday, 21 February 2020","Friday, 21 February 2020",89,10,2,99,,,,40
40,"Saturday, 22 February 2020","Saturday, 22 February 2020",307,41,2,348,,,,41
41,"Saturday, 22 February 2020","Saturday, 22 February 2020",154,3,3,157,,,,42
42,"Sunday, 23 February 2020","Sunday, 23 February 2020",398,12,3,411,,,,43
43,"Sunday, 23 February 2020","Sunday, 23 February 2020",77,3,3,80,,,,44
44,"Monday, 24 February 2020","Monday, 24 February 2020",234,20,1,254,,,,45
45,"Tuesday, 25 February 2020","Tuesday, 25 February 2020",429,9,6,438,,,,46
46,"Wednesday, 26 February 2020","Wednesday, 26 February 2020",232,8,8,240,,,,47
47,"Thursday, 27 February 2020","Thursday, 27 February 2020",304,16,1,320,,,,48
48,"Friday, 28 February 2020","Friday, 28 February 2020",295,28,0,323,,,,49
49,"Saturday, 29 February 2020","Saturday, 29 February 2020",281,7,1,288,,,,50
50,"Saturday, 29 February 2020","Saturday, 29 February 2020",132,3,2,135,,,,51
51,"Sunday, 1 March 2020","Sunday, 1 March 2020",382,12,7,394,,,,52
52,"Monday, 2 March 2020","Monday, 2 March 2020",411,18,6,437,,,,53
53,"Tuesday, 3 March 2020","Tuesday, 3 March 2020",337,22,0,365,,,,54
54,"Wednesday, 4 March 2020","Wednesday, 4 March 2020",408,48,4,467,,,,55
55,"Thursday, 5 March 2020","Thursday, 5 March 2020",346,35,2,383,,,,56
56,"Friday, 6 March 2020","Friday, 6 March 2020",189,12,0,203,,,,57
57,"Saturday, 7 March 2020","Saturday, 7 March 2020",301,9,0,310,,,,58
58,"Saturday, 7 March 2020","Saturday, 7 March 2020",84,3,3,87,,,,59
